order_no,sale_date,store_name,product_name,total_price
D90092710150144974848,2025-12-14,新天地广场,华夫蛋筒（单买）,3.0
D90092711120451141632,2025-12-14,新天地广场,华夫蛋筒（单买）,3.0
D00176585672688414071,2025-12-16,新天地广场,金芒雪芭,35.0
D00176585675901051878,2025-12-16,新天地广场,焦糖海盐,35.0
D00176615174565014972,2025-12-19,新天地广场,甜心团,58.0
D00176622525014249678,2025-12-20,新天地广场,榛子巧克力布朗尼,35.0
D00176622530277641005,2025-12-20,新天地广场,伯爵红茶,35.0
D00176622535227886301,2025-12-20,新天地广场,焦糖海盐,35.0
D00176631043597387513,2025-12-21,新天地广场,玫瑰树莓,35.0
D00176631490743954958,2025-12-21,新天地广场,伯爵红茶,35.0
D00176639134333861576,2025-12-22,新天地广场,玫瑰树莓,35.0
D00176639785408770445,2025-12-22,新天地广场,木姜子甜橙,35.0
D00176639785408770445,2025-12-22,新天地广场,临安山核桃,35.0
D00176639945793535802,2025-12-22,新天地广场,大白兔,35.0
D00176639945793535802,2025-12-22,新天地广场,玫瑰树莓,35.0
D00176649252997635424,2025-12-23,新天地广场,焦糖海盐,-70.0
D00176656966703816761,2025-12-24,新天地广场,焦糖海盐,35.0
D00176657039755005235,2025-12-24,新天地广场,榛子巧克力布朗尼,35.0
D00176664030193725363,2025-12-25,新天地广场,榛子巧克力布朗尼,35.0
D00176666158713022851,2025-12-25,新天地广场,白色恋人,35.0
D00176666204458657724,2025-12-25,新天地广场,潘那托尼,35.0
D00176673724509447453,2025-12-26,新天地广场,焦糖海盐,35.0
D00176682724089950738,2025-12-27,新天地广场,玫瑰树莓,35.0
D00176682726510739319,2025-12-27,新天地广场,榛子巧克力布朗尼,35.0
D00176682764953267918,2025-12-27,新天地广场,焦糖海盐,35.0
D00176699932986194304,2025-12-29,新天地广场,榛子巧克力布朗尼,35.0
D00177570255345237617,2026-04-09,新天地广场,榛子巧克力成品,0.0
D00177570277249200594,2026-04-09,新天地广场,榛子巧克力成品,0.0
D00177659215324357919,2026-04-19,新天地广场,榛子巧克力成品,0.0
D00177659229025858209,2026-04-19,新天地广场,榛子巧克力成品,0.0
D00177659331715746120,2026-04-19,新天地广场,榛子巧克力成品,0.0
D00245537059702579200,2026-05-09,新天地广场,华夫蛋筒（单买）,-3.0
D00245923772845428736,2026-05-10,新天地广场,雪糯红豆牛乳冰,55.0
D00245941561698095104,2026-05-10,新天地广场,玫瑰树莓,48.0
D00177848552352944887,2026-05-11,新天地广场,成品抹茶味,0.0
D00177865320301659389,2026-05-13,新天地广场,成品泰奶味,0.0
D00177865320301659389,2026-05-13,新天地广场,成品哈密瓜味,0.0
D00177873214496521875,2026-05-14,新天地广场,成品泰奶味,0.0
D00177881792150691888,2026-05-15,新天地广场,成品香蕉花生脆脆,0.0
D00177881792150691888,2026-05-15,新天地广场,成品北海道牛乳,0.0
D00177891672749659432,2026-05-16,新天地广场,成品蜂蜜海盐黑胡椒,0.0
D00177891672749659432,2026-05-16,新天地广场,成品草莓大福,0.0
D00177891672749659432,2026-05-16,新天地广场,成品榛子巧克力,0.0
D00177891672749659432,2026-05-16,新天地广场,成品哈密瓜味,0.0
D00177891672749659432,2026-05-16,新天地广场,成品大白兔,0.0
D00177891672749659432,2026-05-16,新天地广场,成品酸奶杏子,0.0
D00177901805738599905,2026-05-17,新天地广场,成品泰奶味,0.0
D00177901805738599905,2026-05-17,新天地广场,成品北海道牛乳,0.0
D00177901805738599905,2026-05-17,新天地广场,成品金芒雪芭,0.0
D00177901805738599905,2026-05-17,新天地广场,成品草莓大福,0.0
